Diagnosis,LogsheetType,LogsheetTab,Column,Row,Value,ExtendedDiagnosis,FilePath,DataType,Requirement
x after y violation,sediment,sampling,ship_date_seq,39,2022-07-18 00:00:00,ship_date_seq must be after ship_date (y = 2022-09-26 00:00:00),/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,ship_date_seq,40,2022-07-18 00:00:00,ship_date_seq must be after ship_date (y = 2022-09-26 00:00:00),/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,ship_date_seq,45,2022-07-18 00:00:00,ship_date_seq must be after ship_date (y = 2022-09-26 00:00:00),/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,ship_date_seq,46,2022-07-18 00:00:00,ship_date_seq must be after ship_date (y = 2022-09-26 00:00:00),/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,ship_date_seq,61,2022-07-18 00:00:00,ship_date_seq must be after ship_date (y = 2022-09-26 00:00:00),/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDDate,mandatory
x after y violation,sediment,sampling,ship_date_seq,62,2022-07-18 00:00:00,ship_date_seq must be after ship_date (y = 2022-09-26 00:00:00),/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDDate,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,1,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,2,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,5,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,6,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,12,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,13,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,17,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,18,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,23,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,24,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,28,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,29,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,32,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,33,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,34,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,39,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,40,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,45,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,46,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,51,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,52,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,56,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,57,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,61,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,62,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,67,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
missing value,sediment,sampling,ENA_accession_number_sample,68,<empty>,\,/github/workspace/logsheets-filtered/sediment_sampling.csv,XSDAnyURI,mandatory
