column_title,observed_property,special
chlorophyll,standard term url of chlorophyll,
chlorophyll_method,,
sea_surf_temp,,
sea_subsurf_temp,,
sea_surf_salinity,,
sea_subsurf_salinity,,
alkalinity,,
ammonium,,
atmospheric_data,,x
bacteria_carb_prod,,
bac_prod,,
bac_resp,,
biomass,,
chem_administration,,x
conduc,,
density,,
diss_carb_dioxide,,
diss_hydrogen,,
diss_inorg_carb,,
diss_org_carb,,
diss_org_nitro,,
down_par,,
light_intensity,,
diss_oxygen,,
n_alkanes,,
nitrate,,
nitrite,,
org_carb,,
org_matter,,
org_nitro,,
organism_count,,
ph,,
part_org_carb,,
part_org_nitro,,
perturbation,,x
petroleum_hydrocarb,,
phaeopigments,,
phosphate,,
pigments,,
pressure,,
primary_prod,,
redox_potential,,
silicate,,
sulfate,,
sulfide,,
tot_carb,,
tot_diss_nitro,,x
tot_inorg_nitro,,x
tot_nitro,,
tot_part_carb,,
tot_phosp,,
turbidity,,
water_current,,
misc_param,,
